registro_id,ley,firmante_id,firmante_apellido,firmante_nombre,firmante_bloque,firmante_distrito
HCDN00001,27127,HCDN01086,SEGARRA,ADELA ROSA,FRENTE PARA LA VICTORIA - PJ,BUENOS AIRES
HCDN00002,27128,HCDN01228,DONKIN,CARLOS GUILLERMO,FRENTE PARA LA VICTORIA - PJ,FORMOSA
HCDN00003,27128,HCDN01240,BASTERRA,LUIS EUGENIO,FRENTE PARA LA VICTORIA - PJ,FORMOSA
HCDN00004,27128,HCDN00877,DIAZ ROIG,JUAN CARLOS,FRENTE PARA LA VICTORIA - PJ,FORMOSA
HCDN00005,27128,HCDN01276,LOTTO,INES BEATRIZ,FRENTE PARA LA VICTORIA - PJ,FORMOSA
HCDN00006,27129,HCDN01048,PARRILLI,NANCI MARIA AGUSTINA,FRENTE PARA LA VICTORIA - PJ,NEUQUEN
HCDN00007,27130,HCDN01170,FIAD,MARIO RAYMUNDO,UCR,JUJUY
HCDN00008,27130,HCDN01314,GIMENEZ,SANDRA DANIELA,FRENTE PARA LA VICTORIA - PJ,MISIONES
HCDN00009,27130,HCDN00770,MARTINEZ,JULIO CESAR,UCR,LA RIOJA
HCDN00010,27130,HCDN01160,COSTA,EDUARDO RAUL,UCR,SANTA CRUZ
HCDN00011,27130,HCDN01243,BIELLA CALVET,BERNARDO JOSE,UDESO SALTA,SALTA
HCDN00012,27130,HCDN01214,TERADA,ALICIA,COALICION CIVICA - ARI,CHACO
HCDN00013,27130,HCDN01306,VAQUIE,ENRIQUE ANDRES,UCR,MENDOZA
HCDN00014,27130,HCDN01277,MALDONADO,VICTOR HUGO,UCR,CHACO
HCDN00015,27130,HCDN00427,GIUBERGIA,MIGUEL ANGEL,UCR,JUJUY
HCDN00016,27130,HCDN01157,CHIENO,MARIA ELENA PETRONA,FRENTE PARA LA VICTORIA - PJ,CORRIENTES
HCDN00017,27130,HCDN01140,ALVAREZ,ELSA MARIA,UCR,SANTA CRUZ
HCDN00018,27130,HCDN01245,BRIZUELA Y DORIA DE CARA,OLGA INES,UCR,LA RIOJA
HCDN00019,27130,HCDN01213,STORANI,MARIA LUISA,UCR,BUENOS AIRES
HCDN00020,27130,HCDN01191,MICHETTI,MARTA GABRIELA,PRO,CIUDAD DE BUENOS AIRES
HCDN00021,27130,HCDN01270,GUCCIONE,JOSE DANIEL,FRENTE PARA LA VICTORIA - PJ,MISIONES
HCDN00022,27130,HCDN01184,MAJDALANI,SILVIA CRISTINA,PRO,BUENOS AIRES
HCDN00023,27131,HCDN01075,GRIBAUDO,CHRISTIAN ALEJANDRO,UNION PRO,BUENOS AIRES
HCDN00024,27131,HCDN01395,CASTRO,SANDRA DANIELA,FRENTE PARA LA VICTORIA - PJ,SAN JUAN
HCDN00025,27131,HCDN01268,GIACCONE,CLAUDIA ALEJANDRA,FRENTE PARA LA VICTORIA - PJ,SANTA FE
