diputado_id,diputado_apellido,diputado_nombre,diputado_genero,mandato_inicio,diputado_juramento,mandato_fin,diputado_distrito
HCDN01584,ABBIATE,ALEJANDRO A.A.,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,BUENOS AIRES
HCDN01585,ABDALA,LUIS OSCAR,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,LA RIOJA
HCDN01586,ABDALA,OSCAR TUPIC,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,BUENOS AIRES
HCDN01587,ACEVEDO DE BIANCHI,CARMEN B,F,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,FORMOSA
HCDN01588,AGUILAR,RAMON ROSA,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,SANTIAGO DEL ESTERO
HCDN01589,ALAGIA,RICARDO ALBERTO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,BUENOS AIRES
HCDN01590,ALBARRACIN,IGNACIO ARTURO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,CATAMARCA
HCDN01591,ALIAS,MANUEL,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,JUJUY
HCDN01595,ALLEGRONE DE FONTE,NORMA EVA,F,1983-12-10T00:00:00,1985-01-30T00:00:00,1985-12-09T00:00:00,CAPITAL FEDERAL
HCDN00047,ALSOGARAY,ALVARO CARLOS,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,CAPITAL FEDERAL
HCDN01592,ALTAMIRANO,AMADO HECTOR H,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,NEUQUEN
HCDN01593,ALVAREZ,ADRIAN CARLOS,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,JUJUY
HCDN01594,ALVAREZ,ROBERTO PEDRO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,BUENOS AIRES
HCDN01596,ARABOLAZA,MARCELO MIGUEL,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,BUENOS AIRES
HCDN01597,ARAOZ,JULIO CESAR,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,CORDOBA
HCDN01598,ARRECHEA,RAMON ROSAURO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,MISIONES
HCDN01599,ARSON,HECTOR ROBERTO,M,1983-12-10T00:00:00,1985-01-30T00:00:00,1987-12-09T00:00:00,CAPITAL FEDERAL
HCDN01600,ASENSIO,LUIS ASTERIO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,BUENOS AIRES
HCDN01601,AUSTERLITZ,FEDERICO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,TUCUMAN
HCDN01602,AZCONA,VICENTE MANUEL,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,MENDOZA
HCDN00390,BAGLINI,RAUL EDUARDO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,MENDOZA
HCDN01603,BALESTRA,RICARDO RAMON,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,CORRIENTES
HCDN01604,BARBARO,JULIO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,CAPITAL FEDERAL
HCDN01605,BARBEITO,JUAN CARLOS,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,SAN LUIS
HCDN01606,BASUALDO,HECTOR ALFREDO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,BUENOS AIRES
HCDN00030,BECERRA,CARLOS ARMANDO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,CORDOBA
HCDN01607,BELARRINAGA,JUAN BAUTISTA,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,BUENOS AIRES
HCDN01608,BERNASCONI,TULIO MARON,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,CAPITAL FEDERAL
HCDN01609,BERRI,RICARDO ALEJANDRO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,BUENOS AIRES
HCDN01610,BIANCHI,CARLOS HUMBERTO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,CORRIENTES
HCDN02255,BIANCHI DE ZIZZIAS,ELIA ANA,F,1983-12-10T00:00:00,1986-08-20T00:00:00,1987-12-09T00:00:00,MENDOZA
HCDN01611,BIELICKI,JOSE,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,BUENOS AIRES
HCDN01612,BISCIOTTI,VICTORIO OSVALDO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,BUENOS AIRES
HCDN01613,BLANCO,JOSE CELESTINO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,CAPITAL FEDERAL
HCDN01614,BODO,RODOLFO LUIS,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,SAN LUIS
HCDN01615,BONINO,ALBERTO CECILIO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,SANTA FE
HCDN01616,BONOMI,NORA SUSANA,F,1983-12-10T00:00:00,1984-05-09T00:00:00,1985-12-09T00:00:00,BUENOS AIRES
HCDN01617,BORDON ,JOSE OCTAVIO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,MENDOZA
HCDN01618,BOTTA,FELIPE ESTEBAN,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,CORDOBA
HCDN01619,BRITO LIMA,ALBERTO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,BUENOS AIRES
HCDN01620,BRITOS,OSCAR FELIPE,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,SAN LUIS
HCDN01621,BRIZ DE SANCHEZ,ONOFRE,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,CHACO
HCDN01622,BRIZUELA,JUAN ARNALDO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,CATAMARCA
HCDN02256,BRUNO,ANGEL ATILIO J,M,1983-12-10T00:00:00,1987-04-21T00:00:00,1987-12-09T00:00:00,CAPITAL FEDERAL
HCDN01623,BULACIO,JULIO SEGUNDO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,TUCUMAN
HCDN01624,CABELLO,LUIS VICTORINO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,BUENOS AIRES
HCDN01625,CACERES,LUIS ALBERTO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,SANTA FE
HCDN01626,CAFERRI,OSCAR NESTOR,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,LA PAMPA
HCDN01627,CAMISAR,OSVALDO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,SALTA
HCDN01628,CAMPS,ALBERTO GERMAN,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,CAPITAL FEDERAL
HCDN01629,CANICOBA,RAMON HECTOR P,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1985-12-09T00:00:00,SAN LUIS
HCDN01630,CANTOR,RUBEN,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,CHACO
HCDN01631,CAPUANO,PEDRO JOSE,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,BUENOS AIRES
HCDN01632,CARDOZO,IGNACIO LUIS R,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,SANTA FE
HCDN01633,CARMONA,JORGE,M,1983-12-10T00:00:00,1984-04-26T00:00:00,1985-12-09T00:00:00,BUENOS AIRES
HCDN01634,CARRANZA,FLORENCIO,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,BUENOS AIRES
HCDN01635,CARRIZO,RAUL ALFONSO CORPUS,M,1983-12-10T00:00:00,1983-11-29T00:00:00,1987-12-09T00:00:00,CORDOBA
