index,cese_periodo_legal,cese_periodo_real,inicio_periodo_legal,inicio_periodo_real,partido_politico,provincia,senador
0,1928-04-30,1928-01-08,1924-05-30,1924-05-30,SOCIALISTA,CIUDAD AUTÓNOMA de BUENOS AIRES,"JUSTO,  JUAN BAUTISTA                "
1,1937-04-30,1930-09-06,1928-06-22,1928-06-22,SIN ESPECIFICAR,CIUDAD AUTÓNOMA de BUENOS AIRES,"MOLINARI,  DIEGO LUIS                   "
2,1944-04-30,1943-06-05,1935-05-02,1935-05-02,SOCIALISTA,CIUDAD AUTÓNOMA de BUENOS AIRES,"PALACIOS,  ALFREDO LORENZO              "
3,1892-04-30,1887-05-12,1883-04-30,1883-04-30,SIN ESPECIFICAR,CIUDAD AUTÓNOMA de BUENOS AIRES,"ALVEAR,  DIEGO DE                     "
4,1992-12-09,1992-12-09,1983-11-29,1983-11-29,CONSERVADOR POPULAR-CATAMARCA,CATAMARCA,"AMOEDO, JULIO A."
5,1992-12-09,1992-12-09,1983-12-21,1983-12-21,JUSTICIALISTA,JUJUY,"BENITEZ, ALFREDO L."
6,1992-12-09,1992-12-09,1983-11-29,1983-11-29,UNIÓN CÍVICA RADICAL,ENTRE RÍOS,"BRASESCO, LUIS A. J."
7,1992-12-09,1992-12-09,1983-11-29,1983-11-29,JUSTICIALISTA,SALTA,"BRAVO HERRERA, HORACIO F."
8,1995-12-09,1995-12-09,1986-11-28,1986-11-28,UNIÓN CÍVICA RADICAL,CÓRDOBA,"CENDOYA, JORGE JOAQUIN"
9,1992-12-09,1992-12-09,1983-11-29,1983-11-29,UNIÓN CÍVICA RADICAL,BUENOS AIRES,"GASS, ADOLFO"
10,1992-12-09,1992-12-09,1983-11-29,1983-11-29,JUSTICIALISTA,SANTA FE,"GURDULICH de CORREA, LILIANA"
11,1992-12-09,1992-12-09,1983-11-29,1983-11-29,JUSTICIALISTA,TUCUMÁN,"JIMENEZ MONTILLA, ARTURO I."
12,1998-12-09,1998-12-09,1989-12-06,1989-12-06,JUSTICIALISTA,CHUBUT,"MAC KARTHY, CESAR"
13,1992-12-09,1992-12-09,1983-11-29,1983-11-29,UNIÓN CÍVICA RADICAL,MENDOZA,"MALHARRO de TORRES, MARGARITA"
14,1989-12-09,1989-12-09,1983-11-29,1983-11-29,JUSTICIALISTA,LA RIOJA,"MENEM, EDUARDO"
15,1992-12-09,1992-12-09,1983-11-29,1983-11-29,JUSTICIALISTA,FORMOSA,"NIEVES, ROGELIO J."
16,1998-12-09,1998-12-09,1992-02-26,1992-02-26,MOVIMIENTO POPULAR FUEGUINO,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR","OYARZUN, JUAN CARLOS"
17,1989-12-09,1989-12-09,1983-11-29,1983-11-29,JUSTICIALISTA,SAN LUIS,"RODRIGUEZ SAA, ALBERTO"
18,1986-12-09,1986-12-09,1983-11-29,1983-11-29,JUSTICIALISTA,LA RIOJA,"SANCHEZ, LIBARDO NICOLAS"
19,1989-12-09,1989-12-09,1983-11-29,1983-11-29,MOVIMIENTO POPULAR NEUQUINO,NEUQUÉN,"SOLANA, JORGE D."
20,1992-12-09,1992-12-09,1983-11-29,1983-11-29,UNIÓN CÍVICA RADICAL,MISIONES,"VELAZQUEZ, HECTOR"
21,1986-12-09,1986-12-09,1983-11-29,1983-11-29,JUSTICIALISTA,SANTIAGO DEL ESTERO,"CASTRO, JORGE A."
22,1986-12-09,1986-12-09,1983-11-29,1983-11-29,UNIÓN CÍVICA RADICAL,CÓRDOBA,"CELLI, FELIPE"
23,2001-12-09,1996-08-06,1992-12-02,1992-12-02,UNIÓN CÍVICA RADICAL,CIUDAD AUTÓNOMA de BUENOS AIRES,"DE LA RUA, FERNANDO"
24,1986-12-09,1986-12-09,1983-11-29,1983-11-29,JUSTICIALISTA,SANTA FE,"MARINI, CELESTINO A."
